id,imo,vessel_name,beneficial_owner,beneficial_owner_country,operator,operator_country,flag_name,vessel_type_code,built_year,buyer,dwt_design,class1_code,technical_manager,technical_manager_country,commercial_manager,commercial_manager_country,modified_at
7408,9697428,DALI,Grace Ocean Investment Ltd.,Hong Kong,Grace Ocean Investment Ltd.,Hong Kong,Singapore,Cont,2015,,117158,NK,Synergy Marine Pte Ltd,Singapore,Grace Ocean Investment Ltd.,Hong Kong,2022-01-25T00:00:00Z
38674,9697595,STI OXFORD,Scorpio Tankers Inc,Monaco,Scorpio Tankers Inc,Monaco,United Kingdom,Tank,2015,,109999,ABS,Optimum Ship Services Ltd,Greece,Scorpio Tankers Inc,Monaco,2020-01-01T00:00:00Z
38696,9697612,EXCELSIOR BAY,Scorpio Tankers Inc,Monaco,Scorpio Tankers Inc,Monaco,Marshall Islands,Tank,2014,,49990,DNV,Scorpio Marine Management,India,Scorpio Tankers Inc,Monaco,2020-01-01T00:00:00Z
8813,9698252,WIDE INDIA,Oaktree Capital Managemet LP,United States of America,Oaktree Capital Managemet LP,United States of America,Marshall Islands,Cont,2015,,65165,DNV,,,Oaktree Capital Managemet LP,United States of America,2021-07-26T00:00:00Z
297,9698329,SADLERS WELLS,Eclipse Shipping Ltd,United Kingdom,Marine Capital Ltd (MCL),United Kingdom,United Kingdom,Bulk,2015,,63153,DNV,Norbulk Shipping UK Ltd,United Kingdom,Marine Capital Ltd (MCL),United Kingdom,2023-09-16T00:00:00Z
3502,9698630,SAN FELIX,SFL Corporation,Bermuda,Hamburg Sudamerikanische Dampfschifffahrts Gesellschaft KG,Germany,Marshall Islands,Cont,2014,,115181,LR,Bernhard Schulte (Singapore) Pte Ltd,Singapore,Bernhard Schulte (Singapore) Pte Ltd,Singapore,2022-12-03T00:00:00Z
9357,9699282,SBI GEMINI,Eneti Inc (formerly Scorpio Bulkers),Monaco,Eneti Inc (formerly Scorpio Bulkers),Monaco,Marshall Islands,Bulk,2015,,63655,DNV,,,Eneti Inc (formerly Scorpio Bulkers),Monaco,2020-12-01T00:00:00Z
7741,9700158,STELLAR VENTURE,Polaris Shipping Co Ltd,"Korea, Republic Of",Polaris Shipping Co Ltd,"Korea, Republic Of",Panama,Bulk,2014,,250005,KR,Fleet Management Ltd - HKG,Hong Kong,Polaris Shipping Co Ltd,"Korea, Republic Of",2021-12-29T00:00:00Z
18108,9701798,BW CARINA,BW LPG Ltd,Norway,BW LPG Ltd,Norway,Isle of Man,LPG,2015,,54561,DNV,BW Fleet Management,Singapore,BW LPG Ltd,Norway,2020-01-01T00:00:00Z
25331,9701920,SPAR ARIES,Spar Shipping AS,Norway,Spar Shipping AS,Norway,Norway (NIS),Bulk,2015,,63800,DNV,,,Spar Shipping AS,Norway,2020-01-01T00:00:00Z
