id,imo,vessel_name,beneficial_owner,beneficial_owner_country,operator,operator_country,flag_name,vessel_type_code,built_year,buyer,dwt_design,class1_code,technical_manager,technical_manager_country,commercial_manager,commercial_manager_country,modified_at
33367,9269075,NEW DISCOVERY,New Shipping Ltd,Greece,New Shipping Ltd,Greece,Bahamas,Tank,2003,,159199,LR,New Shipping Ltd,Greece,New Shipping Ltd,Greece,2020-01-01T00:00:00Z
9130,9436484,STAR,Great Harvest Maeta Group Holdings Ltd,Hong Kong,Great Harvest Maeta Group Holdings Ltd,Hong Kong,Marshall Islands,Cont,2009,,41975,DNV,Draco Buren Shipping Pte Ltd,Singapore,Great Harvest Maeta Group Holdings Ltd,Hong Kong,2021-03-10T00:00:00Z
10952,9393242,REGINE,Harren & Partner Reederei GmbH & Co KG,Germany,Harren & Partner Reederei GmbH & Co KG,Germany,Germany,Gen,2009,,11937,DNV,SAL Ship Management UG,Germany,Harren & Partner Reederei GmbH & Co KG,Germany,2020-01-01T00:00:00Z
12696,9624938,GOLAR PENGUIN,Golar LNG 1460 Corp,United Kingdom,Golar LNG 1460 Corp,United Kingdom,Marshall Islands,LNG,2014,,82181,DNV,Golar Management Norway AS,Norway,Golar LNG 1460 Corp,United Kingdom,2020-01-01T00:00:00Z
34783,9350032,APL FLORIDA,Nissen Kaiun KK,Japan,Nissen Kaiun KK,Japan,Malta,Cont,2008,,72912,NK,,,Nissen Kaiun KK,Japan,2020-01-01T00:00:00Z
4658,9652014,TONG LIN WAN,China Shipping Development (Hong Kong) Marine Co Ltd,Hong Kong,Cosco Shipping Energy Transportation (CSET),China,Hong Kong,Tank,2014,,109615,CC,Cosco Shipping Energy Transportation (CSET),China,Cosco Shipping Energy Transportation (CSET),China,2022-06-16T00:00:00Z
19821,9849045,SEA EAGLE,Agelef Shipping Co. (London) Ltd.,United Kingdom,Agelef Shipping Co. (London) Ltd.,United Kingdom,Marshall Islands,Tank,2019,,49916,DNV,Pantheon Tankers Management Ltd,Greece,Agelef Shipping Co. (London) Ltd.,United Kingdom,2020-01-01T00:00:00Z
8566,9273387,CHEMBULK NEW ORLEANS,Berlian Laju Tanker P.T.,Indonesia,Berlian Laju Tanker P.T.,Indonesia,Marshall Islands,Chem,2003,,32363,DNV,Asia Pacific Shipping Co Ltd,Viet Nam,Berlian Laju Tanker P.T.,Indonesia,2021-10-12T00:00:00Z
7679,9602423,NASAKA,Dryships Inc.,Greece,Dryships Inc.,Greece,Malta,Bulk,2014,,81837,NK,,,Dryships Inc.,Greece,2022-01-04T00:00:00Z
27255,9615353,LADY ROISE,Sellan Gas Co Ltd (Cong Ty TNHH Sellan Gas),Viet Nam,Sellan Gas Co Ltd (Cong Ty TNHH Sellan Gas),Viet Nam,Liberia,LPG,2012,,3805,KR,,,Sellan Gas Co Ltd (Cong Ty TNHH Sellan Gas),Viet Nam,2020-01-01T00:00:00Z
30152,9278088,YM WEALTH,Yang Ming Marine Transport Corp,"Taiwan, Province Of China",Yang Ming Marine Transport Corp,"Taiwan, Province Of China",Liberia,Cont,2004,,68615,ABS,,,Yang Ming Marine Transport Corp,"Taiwan, Province Of China",2020-01-01T00:00:00Z
9674,9858527,SOUTHERN HAWK,Goodwill Maritime Pte Ltd,Singapore,Goodwill Maritime Pte Ltd,Singapore,Singapore,Bulk,2019,,80689,DNV,Synergy Ocean Maritime Inc,Philippines,Goodwill Maritime Pte Ltd,Singapore,2020-01-01T00:00:00Z
