id,imo,vessel_name,beneficial_owner,beneficial_owner_country,operator,operator_country,flag_name,vessel_type_code,built_year,buyer,dwt_design,class1_code,technical_manager,technical_manager_country,commercial_manager,commercial_manager_country,modified_at
1725,9297369,URSUS ARCTOS,Solid Energy Solutions DMCC,United Arab Emirates,Solid Energy Solutions DMCC,United Arab Emirates,Liberia,Tank,2006,,113553,LR,Cougar Nautic Inc,Philippines,Solid Energy Solutions DMCC,United Arab Emirates,2023-05-02T00:00:00Z
1265,9297371,SULEYMAN I,Buena Vista Shipping LLC,India,m/s Gatik Ship Management,India,Panama,Tank,2006,,113120,LR,m/s Gatik Ship Management,India,m/s Gatik Ship Management,India,2023-06-14T00:00:00Z
1509,9297412,GULF HORIZON,Gulf Energy Maritime (GEM) PJSC,United Arab Emirates,Gulf Energy Maritime (GEM) PJSC,United Arab Emirates,Bahamas,Tank,2005,,74999,LR,Gulf Energy Maritime (GEM) PJSC,United Arab Emirates,Gulf Energy Maritime (GEM) PJSC,United Arab Emirates,2023-05-23T00:00:00Z
35192,9297515,NORDIC SKIER,Nordic American Tankers Ltd,Bermuda,Nordic American Tankers Ltd,Bermuda,Cayman Islands,Tank,2005,,159089,DNV,Hellespont Ship Management GmbH & Co KG,Germany,Nordic American Tankers Ltd,Bermuda,2020-01-01T00:00:00Z
27930,9297527,ANL WENDOUREE,Sinokor Merchant Marine Co. Ltd,"Korea, Republic Of",Sinokor Merchant Marine Co. Ltd,"Korea, Republic Of",South Korea,Cont,2005,,66583,KR,Sinokor Ship Management Co Ltd,"Korea, Republic Of",Sinokor Merchant Marine Co. Ltd,"Korea, Republic Of",2020-01-01T00:00:00Z
8764,9297539,STARLIGHT VENTURE,U-Ming Marine Transport Corp,"Taiwan, Province Of China",U-Ming Marine Transport Corp,"Taiwan, Province Of China",Hong Kong,Tank,2004,,318825,BV,V Ships Asia Group Pte,Singapore,U-Ming Marine Transport Corp,"Taiwan, Province Of China",2021-08-31T00:00:00Z
38640,9297852,JPO PISCES,Schiffahrtsgesellschaft Oltmann Verwaltung mbH Co. KG,Germany,Schiffahrtsgesellschaft Oltmann Verwaltung mbH Co. KG,Germany,Liberia,Cont,2005,,52828,DNV,,,Schiffahrtsgesellschaft Oltmann Verwaltung mbH Co. KG,Germany,2020-01-01T00:00:00Z
2649,9298272,VALENTE,Reederei Thomas Schulte GmbH & Co KG,Germany,Hafnia Pools Pte Ltd,Singapore,Palau,Tank,2005,,73901,LR,Chemikalien Seetransport GmbH,Germany,Chemikalien Seetransport GmbH,Germany,2023-03-07T00:00:00Z
3439,9298296,CHEMTRANS ARCTIC,Reederei Thomas Schulte GmbH & Co KG,Germany,Hafnia Pools Pte Ltd,Singapore,Cyprus,Tank,2005,,73911,LR,Chemikalien Seetransport & Co.,Germany,Hafnia Pools Pte Ltd,Singapore,2022-12-14T00:00:00Z
12113,9298301,CHEMTRANS BALTIC,Expedo Shipping Corp. (Monaco),Monaco,Expedo Shipping Corp. (Monaco),Monaco,Cyprus,Tank,2005,,73897,LR,Expedo Ship Management Canada Ltd,Canada,Expedo Shipping Corp. (Monaco),Monaco,2020-01-01T00:00:00Z
41211,9298313,ATHENS STAR,Penfield Marine LLC,United States of America,Penfield Marine LLC,United States of America,Isle of Man,Tank,2005,,73869,LR,Chemikalien Seetransport & Co.,Germany,Penfield Marine LLC,United States of America,2020-01-01T00:00:00Z
35969,9298325,HAMBURG STAR,Lloyd Fonds AG,Germany,Lloyd Fonds AG,Germany,Liberia,Tank,2005,,73869,LR,Chemikalien Seetransport GmbH,Germany,Lloyd Fonds AG,Germany,2020-01-01T00:00:00Z
26633,9298533,THOR INSU VI,Thoresen Thai Agencies Public Co. Ltd.,Thailand,Thoresen Thai Agencies Public Co. Ltd.,Thailand,Singapore,Bulk,2005,,52489,NK,,,Thoresen Thai Agencies Public Co. Ltd.,Thailand,2020-01-01T00:00:00Z
21065,9298636,INDEPENDENT PRIMERO,Dohle Peter Schiffahrts Gmbh & Co. KG,Germany,Dohle Peter Schiffahrts Gmbh & Co. KG,Germany,Liberia,Cont,2006,,41647,LR,Peter Doehle Schiffahrts-KG,Germany,Dohle Peter Schiffahrts Gmbh & Co. KG,Germany,2020-01-01T00:00:00Z
286,9298662,BEKS RENZ,Beks Denizcilik ve Ticaret Ltd. Sti,Turkey,Trafigura Maritime Logistics,Singapore,Marshall Islands,Tank,2005,,74999,BV,VR Marine Management Pte Ltd,Singapore,Beks Gemi İsletmeciliği Ve Ticaret A.S,Turkey,2023-09-17T00:00:00Z
415,9298674,DUBAI GREEN,Emarat Maritime,United Arab Emirates,Emarat Maritime,United Arab Emirates,Marshall Islands,Tank,2005,,74999,LR,Emarat Maritime,United Arab Emirates,Emarat Maritime,United Arab Emirates,2023-09-03T00:00:00Z
1288,9299123,SOFIA K,Buena Vista Shipping LLC,India,m/s Gatik Ship Management,India,St Kitts & Nevis,Tank,2005,,65125,DNV,m/s Gatik Ship Management,India,m/s Gatik Ship Management,India,2023-06-14T00:00:00Z
