"date_","day_part_segment","geo_subcategory","shipcategory","shipcount"
"1/1/2020","Evening","Port Brani","TANKER","0"
"1/1/2020","Evening","Port Bukom","CARGO","0"
"1/1/2020","Evening","Port Bukom","PASSENGER","0"
"1/1/2020","Evening","Port Bukom","TANKER","8"
"1/1/2020","Evening","Port Jurong Island","CARGO","2"
"1/1/2020","Evening","Port Jurong Island","PASSENGER","0"
"1/1/2020","Evening","Port Jurong Island","TANKER","44"
"1/1/2020","Evening","Port Marina Bay Cruise Centre","CARGO","0"
"1/1/2020","Evening","Port Marina Bay Cruise Centre","PASSENGER","0"
"1/1/2020","Evening","Port Marina Bay Cruise Centre","TANKER","0"
"1/1/2020","Evening","Port Pasir Panjang","CARGO","26"
"1/1/2020","Evening","Port Pasir Panjang","PASSENGER","0"
"1/1/2020","Evening","Port Pasir Panjang","TANKER","12"
"1/1/2020","Evening","Port Tanjong Pagar","CARGO","1"
"1/1/2020","Evening","Port Tanjong Pagar","PASSENGER","0"
"1/1/2020","Evening","Port Tanjong Pagar","TANKER","0"
"1/1/2020","Evening","Port Tuas","CARGO","2"
"1/1/2020","Evening","Port Tuas","PASSENGER","0"
"1/1/2020","Evening","Port Tuas","TANKER","6"
"1/1/2020","Evening","Sea","CARGO","52"
"1/1/2020","Evening","Sea","PASSENGER","0"
"1/1/2020","Evening","Sea","TANKER","153"
"1/1/2020","Late_Night","Land","CARGO","0"
"1/1/2020","Late_Night","Land","PASSENGER","0"
"1/1/2020","Late_Night","Land","TANKER","0"
"1/1/2020","Late_Night","Port Brani","CARGO","1"
"1/1/2020","Late_Night","Port Brani","PASSENGER","0"
"1/1/2020","Late_Night","Port Brani","TANKER","0"
"1/1/2020","Late_Night","Port Bukom","CARGO","3"
"1/1/2020","Late_Night","Port Bukom","PASSENGER","0"
"1/1/2020","Late_Night","Port Bukom","TANKER","10"
"1/1/2020","Late_Night","Port Jurong Island","CARGO","4"
"1/1/2020","Late_Night","Port Jurong Island","PASSENGER","0"
"1/1/2020","Late_Night","Port Jurong Island","TANKER","41"
"1/1/2020","Late_Night","Port Marina Bay Cruise Centre","CARGO","0"
"1/1/2020","Late_Night","Port Marina Bay Cruise Centre","PASSENGER","0"
"1/1/2020","Late_Night","Port Marina Bay Cruise Centre","TANKER","0"
"1/1/2020","Late_Night","Port Pasir Panjang","CARGO","24"
"1/1/2020","Late_Night","Port Pasir Panjang","PASSENGER","0"
"1/1/2020","Late_Night","Port Pasir Panjang","TANKER","12"
"1/1/2020","Late_Night","Port Tanjong Pagar","CARGO","0"
"1/1/2020","Late_Night","Port Tanjong Pagar","PASSENGER","0"
"1/1/2020","Late_Night","Port Tanjong Pagar","TANKER","0"
"1/1/2020","Late_Night","Port Tuas","CARGO","3"
"1/1/2020","Late_Night","Port Tuas","PASSENGER","0"
"1/1/2020","Late_Night","Port Tuas","TANKER","6"
"1/1/2020","Late_Night","Sea","CARGO","62"
"1/1/2020","Late_Night","Sea","PASSENGER","2"
"1/1/2020","Late_Night","Sea","TANKER","169"
"1/1/2020","Morning","Land","CARGO","0"
"1/1/2020","Morning","Land","PASSENGER","0"
"1/1/2020","Morning","Land","TANKER","0"
"1/1/2020","Morning","Port Brani","CARGO","2"
"1/1/2020","Morning","Port Brani","PASSENGER","0"
"1/1/2020","Morning","Port Brani","TANKER","1"
"1/1/2020","Morning","Port Bukom","CARGO","3"
"1/1/2020","Morning","Port Bukom","PASSENGER","0"
"1/1/2020","Morning","Port Bukom","TANKER","6"
"1/1/2020","Morning","Port Jurong Island","CARGO","9"
"1/1/2020","Morning","Port Jurong Island","PASSENGER","0"
"1/1/2020","Morning","Port Jurong Island","TANKER","37"
"1/1/2020","Morning","Port Marina Bay Cruise Centre","CARGO","0"
"1/1/2020","Morning","Port Marina Bay Cruise Centre","PASSENGER","0"
"1/1/2020","Morning","Port Marina Bay Cruise Centre","TANKER","0"
"1/1/2020","Morning","Port Pasir Panjang","CARGO","24"
"1/1/2020","Morning","Port Pasir Panjang","PASSENGER","0"
"1/1/2020","Morning","Port Pasir Panjang","TANKER","13"
"1/1/2020","Morning","Port Tanjong Pagar","CARGO","1"
"1/1/2020","Morning","Port Tanjong Pagar","PASSENGER","0"
"1/1/2020","Morning","Port Tanjong Pagar","TANKER","0"
"1/1/2020","Morning","Port Tuas","CARGO","2"
"1/1/2020","Morning","Port Tuas","PASSENGER","0"
"1/1/2020","Morning","Port Tuas","TANKER","6"
"1/1/2020","Morning","Sea","CARGO","49"
"1/1/2020","Morning","Sea","PASSENGER","0"
"1/1/2020","Morning","Sea","TANKER","146"
"1/1/2020","Night","Land","CARGO","0"
"1/1/2020","Night","Land","PASSENGER","0"
"1/1/2020","Night","Land","TANKER","0"
"1/1/2020","Night","Port Brani","CARGO","4"
"1/1/2020","Night","Port Brani","PASSENGER","0"
"1/1/2020","Night","Port Brani","TANKER","0"
"1/1/2020","Night","Port Bukom","CARGO","0"
"1/1/2020","Night","Port Bukom","PASSENGER","0"
"1/1/2020","Night","Port Bukom","TANKER","8"
"1/1/2020","Night","Port Jurong Island","CARGO","6"
"1/1/2020","Night","Port Jurong Island","PASSENGER","0"
"1/1/2020","Night","Port Jurong Island","TANKER","43"
"1/1/2020","Night","Port Marina Bay Cruise Centre","CARGO","0"
"1/1/2020","Night","Port Marina Bay Cruise Centre","PASSENGER","0"
"1/1/2020","Night","Port Marina Bay Cruise Centre","TANKER","0"
"1/1/2020","Night","Port Pasir Panjang","CARGO","27"
"1/1/2020","Night","Port Pasir Panjang","PASSENGER","0"
"1/1/2020","Night","Port Pasir Panjang","TANKER","14"
"1/1/2020","Night","Port Tanjong Pagar","CARGO","1"
"1/1/2020","Night","Port Tanjong Pagar","PASSENGER","0"
"1/1/2020","Night","Port Tanjong Pagar","TANKER","0"
"1/1/2020","Night","Port Tuas","CARGO","6"
"1/1/2020","Night","Port Tuas","PASSENGER","0"
"1/1/2020","Night","Port Tuas","TANKER","8"
"1/1/2020","Night","Sea","CARGO","62"
"1/1/2020","Night","Sea","PASSENGER","0"
"1/1/2020","Night","Sea","TANKER","189"
"1/1/2021","Afternoon","Land","CARGO","0"
"1/1/2021","Afternoon","Land","PASSENGER","0"
"1/1/2021","Afternoon","Land","TANKER","0"
"1/1/2021","Afternoon","Port Brani","CARGO","0"
"1/1/2021","Afternoon","Port Brani","PASSENGER","0"
"1/1/2021","Afternoon","Port Brani","TANKER","0"
"1/1/2021","Afternoon","Port Bukom","CARGO","2"
"1/1/2021","Afternoon","Port Bukom","PASSENGER","0"
"1/1/2021","Afternoon","Port Bukom","TANKER","13"
"1/1/2021","Afternoon","Port Jurong Island","CARGO","4"
"1/1/2021","Afternoon","Port Jurong Island","PASSENGER","0"
"1/1/2021","Afternoon","Port Jurong Island","TANKER","38"
"1/1/2021","Afternoon","Port Marina Bay Cruise Centre","CARGO","0"
"1/1/2021","Afternoon","Port Marina Bay Cruise Centre","PASSENGER","0"
"1/1/2021","Afternoon","Port Marina Bay Cruise Centre","TANKER","0"
"1/1/2021","Afternoon","Port Pasir Panjang","CARGO","29"
"1/1/2021","Afternoon","Port Pasir Panjang","PASSENGER","0"
"1/1/2021","Afternoon","Port Pasir Panjang","TANKER","12"
"1/1/2021","Afternoon","Port Tanjong Pagar","CARGO","1"
"1/1/2021","Afternoon","Port Tanjong Pagar","PASSENGER","0"
"1/1/2021","Afternoon","Port Tanjong Pagar","TANKER","0"
"1/1/2021","Afternoon","Port Tuas","CARGO","1"
"1/1/2021","Afternoon","Port Tuas","PASSENGER","0"
"1/1/2021","Afternoon","Port Tuas","TANKER","5"
"1/1/2021","Afternoon","Sea","CARGO","58"
"1/1/2021","Afternoon","Sea","PASSENGER","0"
"1/1/2021","Afternoon","Sea","TANKER","146"
"1/1/2021","Early_Morning","Land","CARGO","0"
"1/1/2021","Early_Morning","Land","PASSENGER","0"
"1/1/2021","Early_Morning","Land","TANKER","0"
"1/1/2021","Early_Morning","Port Brani","CARGO","0"
"1/1/2021","Early_Morning","Port Brani","PASSENGER","0"
"1/1/2021","Early_Morning","Port Brani","TANKER","0"
"1/1/2021","Early_Morning","Port Bukom","CARGO","0"
"1/1/2021","Early_Morning","Port Bukom","PASSENGER","0"
"1/1/2021","Early_Morning","Port Bukom","TANKER","5"
"1/1/2021","Early_Morning","Port Jurong Island","CARGO","2"
"1/1/2021","Early_Morning","Port Jurong Island","PASSENGER","0"
"1/1/2021","Early_Morning","Port Jurong Island","TANKER","19"
