date_,geo_subcategory,shipcategory,avgspeed,sdspeed,minspeed,maxspeed
1/12/2019,Port Bukom,TANKER,2.848913043,3.792169334,0,12.8
1/12/2019,Port Bukom,PASSENGER,,,,
1/12/2019,Port Tanjong Pagar,CARGO,3.375,6.617338337,0,13.3
1/12/2019,Port Tanjong Pagar,TANKER,13.4,,13.4,13.4
1/12/2019,Port Tanjong Pagar,PASSENGER,,,,
1/12/2019,Port Jurong Island,CARGO,6.972093023,3.475346827,0,16.9
1/12/2019,Port Jurong Island,TANKER,2.0908414,3.14277936,0,13.2
1/12/2019,Port Jurong Island,PASSENGER,,,,
1/12/2019,Port Tuas,CARGO,0.920833333,2.587424297,0,10.1
1/12/2019,Port Tuas,TANKER,4.439393939,4.425843097,0,11.8
1/12/2019,Port Tuas,PASSENGER,,,,
1/12/2019,Port Marina Bay Cruise Centre,CARGO,,,,
1/12/2019,Port Marina Bay Cruise Centre,TANKER,,,,
1/12/2019,Port Marina Bay Cruise Centre,PASSENGER,,,,
1/12/2019,Port Pasir Panjang,CARGO,0.820436817,1.811681832,0,16.2
1/12/2019,Port Pasir Panjang,TANKER,0.953199498,1.909044968,0,10.7
1/12/2019,Port Pasir Panjang,PASSENGER,,,,
1/12/2019,Port Brani,CARGO,2.142857143,1.574650377,0,4.6
1/12/2019,Port Brani,TANKER,0.2,0.141421356,0.1,0.3
1/12/2019,Port Brani,PASSENGER,,,,
1/12/2019,Sea,CARGO,7.714967811,5.572827855,0,20
1/12/2019,Sea,TANKER,3.006264407,4.287156227,0,82.7
1/12/2019,Sea,PASSENGER,0,0,0,0
1/12/2020,Port Bukom,CARGO,9.9375,1.454979136,8,12
1/12/2020,Port Bukom,TANKER,2.570748299,3.021140374,0,13.1
1/12/2020,Port Bukom,PASSENGER,,,,
1/12/2020,Port Tanjong Pagar,CARGO,0,,0,0
1/12/2020,Port Tanjong Pagar,TANKER,0,,0,0
1/12/2020,Port Tanjong Pagar,PASSENGER,,,,
1/12/2020,Port Jurong Island,CARGO,4.807913669,2.897326723,0,12.2
1/12/2020,Port Jurong Island,TANKER,1.130192544,2.409687145,0,14.1
1/12/2020,Port Jurong Island,PASSENGER,,,,
1/12/2020,Port Tuas,CARGO,2.559090909,3.567890015,0,11.4
1/12/2020,Port Tuas,TANKER,0.390689655,1.631125518,0,10
1/12/2020,Port Tuas,PASSENGER,,,,
1/12/2020,Port Marina Bay Cruise Centre,CARGO,,,,
1/12/2020,Port Marina Bay Cruise Centre,TANKER,,,,
1/12/2020,Port Marina Bay Cruise Centre,PASSENGER,,,,
1/12/2020,Port Pasir Panjang,CARGO,1.061760243,2.034174723,0,12
1/12/2020,Port Pasir Panjang,TANKER,1.19408284,2.335345464,0,10.1
1/12/2020,Port Pasir Panjang,PASSENGER,,,,
1/12/2020,Port Brani,CARGO,1.772727273,2.534991483,0,8
1/12/2020,Port Brani,TANKER,0,0,0,0
1/12/2020,Port Brani,PASSENGER,,,,
1/12/2020,Sea,CARGO,6.81037037,6.062827234,0,51.9
1/12/2020,Sea,TANKER,2.888813139,4.148841301,0,84.7
1/12/2020,Sea,PASSENGER,,,,
10/1/2020,Port Bukom,CARGO,5.3,,5.3,5.3
10/1/2020,Port Bukom,TANKER,3.40754717,3.361996262,0,9.8
10/1/2020,Port Bukom,PASSENGER,,,,
10/1/2020,Port Tanjong Pagar,CARGO,0.029268293,0.12092126,0,0.6
10/1/2020,Port Tanjong Pagar,TANKER,,,,
10/1/2020,Port Tanjong Pagar,PASSENGER,,,,
10/1/2020,Port Jurong Island,CARGO,5.717333333,4.576950871,0,13.9
10/1/2020,Port Jurong Island,TANKER,1.909583333,3.105890418,0,12.8
10/1/2020,Port Jurong Island,PASSENGER,,,,
10/1/2020,Port Tuas,CARGO,0.1925,0.884047463,0,7.7
10/1/2020,Port Tuas,TANKER,0.948659004,4.153900869,0,57.6
10/1/2020,Port Tuas,PASSENGER,,,,
10/1/2020,Port Marina Bay Cruise Centre,CARGO,,,,
10/1/2020,Port Marina Bay Cruise Centre,TANKER,,,,
10/1/2020,Port Marina Bay Cruise Centre,PASSENGER,,,,
10/1/2020,Port Pasir Panjang,CARGO,0.956873315,1.847298958,0,8.5
10/1/2020,Port Pasir Panjang,TANKER,0.62700491,1.703065904,0,9.7
10/1/2020,Port Pasir Panjang,PASSENGER,,,,
10/1/2020,Port Brani,CARGO,0.005,0.021978418,0,0.1
10/1/2020,Port Brani,TANKER,,,,
10/1/2020,Port Brani,PASSENGER,,,,
10/1/2020,Sea,CARGO,6.749280767,5.404785032,0,19.7
10/1/2020,Sea,TANKER,3.004365661,4.220062147,0,76.8
10/1/2020,Sea,PASSENGER,,,,
10/1/2021,Port Bukom,CARGO,9.066666667,1.30128142,7.8,10.4
10/1/2021,Port Bukom,TANKER,2.140909091,3.164183351,0,10.2
10/1/2021,Port Bukom,PASSENGER,,,,
10/1/2021,Port Tanjong Pagar,CARGO,3,3.959797975,0.2,5.8
